"SID","lat","lon","elev","name"
1001,70.9331,-8.6667,9.4,"JAN MAYEN"
1002,80.0592,16.25,8,"VERLEGENHUKEN"
1003,77,15.5,11.07,"HORNSUND"
1004,78.9167,11.9331,8,"NY-ALESUND II"
1006,78.2506,22.8225,14,"EDGEOYA"
1007,78.9228,11.9331,7.7,"NY-ALESUND"
1008,78.25,15.4667,26.82,"SVALBARD AP"
1009,80.6528,25.0078,5,"KARL XII OYA"
1010,69.3072,16.1308,13.1,"ANDOYA"
1011,80.0722,31.5,10,"KVITOYA"
1014,69.2344,17.9031,9,"SENJA-LAUKHELLA"
1015,69.6006,17.8372,14,"HEKKINGEN LH"
1016,78.9275,28.8919,20,"KONGSOYA"
1017,77.6886,14.7839,6,"AKSELOYA"
1018,69.2413,16.003,436,""
1019,77.5289,20.8297,20,"SVARTTANGEN"
1020,76.4775,16.5486,10,"SORKAPPOYA"
1023,69.0589,18.54,76.8,"BARDUFOSS"
1025,69.6767,18.9131,8.8,"TROMSO/LANGNES"
1026,69.6536,18.9367,114.5,"TROMSO"
1027,69.6522,18.9056,20,"TROMSO-HOLT"
1028,74.5167,19.0047,18,"BJORNOYA"
1033,70.2456,19.5003,24.1,"TORSVAG LH"
1035,69.5589,20.0939,710,"LYNGEN GJERDVASSBU"
1036,69.37,20.27,5,"---"
1037,69.3861,20.2594,4.71,"SKIBOTN 2"
1042,70.607,22.4428,438,""
1043,70.4103,22.8194,10,"ROGNSUNDET"
1044,70.4861,22.1461,6,"HASVIK AP"
1045,69.8336,21.8842,6,"NORDSTRAUM I KVAENANGEN"
1046,69.7886,20.9553,4.87,"SORKJOSEN"
1047,68.9967,23.0333,307.2,"KAUTOKEINO"
1049,69.9775,23.3581,2.7,"ALTA LUFTHAVN"
1052,70.6806,23.6769,79.24,"HAMMERFEST AP"
1055,71.0933,23.9817,14.22,"FRUHOLMEN LH"
1057,69.3669,24.4331,286,"CUOVDDATMOHKKI"
1058,69.5794,23.5344,381.06,"SUOLOVUOPMI LULIT"
1059,70.06,24.9897,7.62,"BANAK"
1062,76.5094,25.0131,10.2,"HOPEN"
1065,69.4633,25.5022,130.77,"KARASJOK"
1068,71.0106,25.9781,13.41,"HONNINGSVAG AP"
1074,71.0331,27.8297,13,"MEHAMN AP"
1075,70.3967,28.1928,11.2,"RUSTEFJELBMA"
1076,70.2122,28.1586,32,""
1078,71.0839,28.2178,8,"SLETTNES LH"
1082,69.1469,29.2439,56,""
1083,70.8708,29.0347,13,"BERLEVAG AP"
1084,69.4553,30.0411,27,"PASVIK"
1086,70.6028,29.7,152,"BATSFJORD AP"
1088,70.0653,29.8353,39,"VADSO AP"
1089,69.7253,29.8975,86.25,"KIRKENES"
1092,70.7003,30.0678,9,"MAKKAUR LH"
1098,70.3706,31.0989,14.6,"VARDO"
1099,70.3544,31.0439,12,"VARDO AP"
1102,65.2022,10.9964,15.6,"SKLINNA LH"
1105,68.3678,15.9428,8,"ROTVAER"
1106,67.5167,12.1,2,"ROEST III"
1107,67.5267,12.1036,2.13,"ROST AP"
1108,65.7019,11.8569,9.1,"VEGA-VALLSJO"
1112,65.4567,12.2181,9,"BRONNOYSUND AP"
1113,66.8,13.9833,39,"GLOMFJORD"
1114,66.9033,13.6458,8.48,"REIPA"
1115,66.7628,12.4858,16.93,"MYKEN"
1116,65.9606,12.4714,17,"SANDNESSJOEN AP"
1117,65.8269,12.4314,21,"TJOTTA"
1121,66.3706,12.6106,10,"SOLVAER III"
1122,65.7842,13.2178,72.23,"MOSJOEN AP"
1124,64.1586,12.4725,195,"KJOBLI I SNASA"
1132,65.1661,13.3667,319.26,"MAJAVATN V"
1133,65.6214,13.2892,50,"LAKSFORS"
1134,65.1833,13.4167,339,"MAJAVATN III"
1135,66.1317,13.5867,123.84,"SELJELIA"
1139,67.6528,12.7228,4,"VAEROY HELIPORT"
1141,68.15,13.6167,26,"LEKNES"
1143,68.0469,16.0836,19,"DRAG-AJLUOKTA"
1144,67.4047,13.8956,24,"HELLIGVAER II"
1146,66.2347,13.8967,5,"SKAMDAL"
1147,65.8264,14.1844,406,"VARNTRESK"
1148,66.3961,14.5306,110,"STORFORSHEI"
1149,66.3333,14.1,42,"RANA-BASMOEN"
1150,66.4992,14.9539,251,"HJARTASEN"
1151,66.3644,14.3014,70,"MO I RANA AP"
1152,67.2669,14.3586,12.8,"BODO VI"
1153,67.2853,14.4514,33,"BODO-VAGONES"
1156,68.6067,14.4331,7.55,"BO I VESTERALEN"
1158,67.1656,15.4856,7.55,"SETSA"
1160,68.1503,14.6506,11,"SKROVA LH"
1161,68.2453,14.6694,9,"SVOLVAER AP"
1162,68.58,15.0294,3,"STOKMARKNES AP"
1167,68.7003,15.4167,3.3,"SORTLAND"
1169,66.8481,15.3144,81,"SALTDAL"
1180,68.8025,16.5372,46.25,"HARSTAD"
1183,68.4911,16.6833,26,"EVENES AP"
1192,68.4319,17.6622,200,"STRAUMSNES"
1193,68.4397,17.3886,31,"NARVIK AP"
